create_time,start_time,cards,gpu_time,duration_time
106,0,1,721,721
108,0,1,315,315
110,0,1,574,574
113,0,2,3622,1811
125,0,2,2688,1344
130,0,4,11276,2819
131,0,8,70440,8339
132,0,2,3028,1514
147,0,1,212,212
162,0,2,3360,1680
172,0,1,235,235
175,0,2,2912,1456
177,0,2,3896,1948
198,0,2,3994,1997
199,0,8,64224,7661
213,0,4,10980,2745
225,0,1,754,754
252,0,1,896,896
255,0,1,584,584
266,0,1,385,385
270,0,1,111,111
271,0,2,3140,1570
292,0,2,3954,1977
301,0,2,2580,1290
322,0,1,913,913
326,0,1,519,519
329,0,1,323,323
342,0,1,775,775
363,0,1,497,497
366,0,2,3086,1543
377,0,2,3010,1505
385,0,2,3710,1855
388,0,2,3944,1972
391,0,1,510,510
394,0,1,200,200
417,0,4,11996,2999
418,0,1,317,317
446,0,1,246,246
450,0,1,794,794
477,0,2,2232,1116
480,0,4,8308,2077
486,0,2,3886,1943
491,0,2,2210,1105
493,0,2,2946,1473
495,0,1,336,336
509,0,4,11116,2779
510,0,1,763,763
531,0,1,576,576
549,0,1,916,916
551,0,2,3278,1639
556,0,2,3520,1760
584,0,1,145,145
588,0,2,2348,1174
592,0,1,524,524
603,0,2,2680,1340
609,0,1,530,530
615,0,1,884,884
623,0,1,945,945
633,0,2,3050,1525
642,0,8,56856,8307
643,0,4,13356,3339
660,0,2,2626,1313
681,0,1,270,270
688,0,1,668,668
690,0,1,759,759
703,0,2,3658,1829
721,0,2,3026,1513
737,0,1,304,304
745,0,1,108,108
751,0,1,784,784
797,0,2,3026,1513
825,0,4,11564,2891
831,0,2,2360,1180
832,0,2,2986,1493
835,0,1,566,566
845,0,4,15292,3823
855,0,2,2044,1022
872,0,1,581,581
880,0,1,614,614
883,0,1,548,548
897,0,1,650,650
913,0,1,916,916
918,0,2,2748,1374
939,0,2,3564,1782
941,0,1,552,552
941,0,2,3574,1787
943,0,2,2224,1112
958,0,1,183,183
960,0,2,3728,1864
964,0,1,866,866
970,0,1,628,628
988,0,2,2428,1214
993,0,1,641,641
1008,0,1,270,270
1033,0,1,792,792
1042,0,1,539,539
1043,0,4,16920,4230
1046,0,1,270,270
1062,0,4,16532,4133
1102,0,2,3990,1995
1134,0,1,422,422
1147,0,1,237,237
1152,0,4,12564,3141
1154,0,1,387,387
1154,0,8,73576,9309
1156,0,2,3426,1713
1158,0,2,2424,1212
1161,0,1,900,900
1162,0,2,2118,1059
1178,0,1,573,573
1180,0,2,3312,1656
1189,0,2,3554,1777
1205,0,1,939,939
1208,0,1,393,393
1217,0,1,567,567
1222,0,1,526,526
1227,0,1,305,305
1242,0,4,18360,4590
1246,0,1,556,556
1252,0,1,414,414
1261,0,1,394,394
1262,0,1,373,373
1280,0,1,118,118
1285,0,2,2766,1383
1286,0,4,18624,4656
1291,0,1,838,838
1295,0,1,402,402
1304,0,2,2872,1436
1306,0,2,3874,1937
1308,0,2,3914,1957
1319,0,4,14536,3634
1335,0,2,2654,1327
1344,0,8,69728,8458
1348,0,8,78736,9219
1352,0,8,69952,9953
1354,0,1,950,950
1370,0,1,174,174
1377,0,2,2160,1080
1378,0,1,627,627
1380,0,2,2414,1207
1386,0,2,2622,1311
1396,0,1,505,505
1398,0,2,3118,1559
1399,0,1,616,616
1400,0,1,203,203
1401,0,2,3662,1831
1402,0,2,3772,1886
1410,0,1,862,862
1435,0,4,14788,3697
1444,0,4,15620,3905
1447,0,2,2710,1355
1449,0,2,3382,1691
1470,0,2,3102,1551
1471,0,2,3968,1984
1473,0,1,629,629
1475,0,1,958,958
1475,0,1,724,724
1480,0,2,2900,1450
1488,0,2,2082,1041
1498,0,1,817,817
1505,0,2,2010,1005
1512,0,1,515,515
1514,0,2,3706,1853
1520,0,1,498,498
1522,0,1,979,979
1528,0,4,18404,4601
1535,0,1,494,494
1550,0,4,19840,4960
1581,0,1,745,745
1594,0,2,3954,1977
1595,0,1,361,361
1604,0,2,2252,1126
1606,0,1,982,982
1611,0,1,941,941
1615,0,1,749,749
1616,0,4,14500,3625
1635,0,2,2000,1000
1655,0,4,18692,4673
1656,0,2,3498,1749
1666,0,2,3844,1922
1683,0,2,2554,1277
1700,0,2,3216,1608
1709,0,1,776,776
1715,0,2,2568,1284
1715,0,4,13196,3299
1717,0,2,3482,1741
1717,0,4,15412,3853
1756,0,1,935,935
1760,0,8,79224,7413
1774,0,1,549,549
1783,0,1,290,290
1783,0,2,3670,1835
1790,0,2,2612,1306
1800,0,2,3538,1769
1805,0,4,8372,2093
1815,0,8,75176,9100
1821,0,1,932,932
1839,0,1,379,379
1840,0,2,3182,1591
1844,0,2,2640,1320
1855,0,1,149,149
1856,0,8,73080,8846
1860,0,1,458,458
1883,0,1,885,885
1903,0,2,2898,1449
1917,0,1,834,834
1925,0,1,415,415
1928,0,2,3170,1585
1942,0,2,2172,1086
1967,0,1,469,469
1967,0,2,2454,1227
1968,0,1,954,954
1980,0,2,3898,1949
1980,0,2,2862,1431
1988,0,1,993,993
2013,0,2,2152,1076
2016,0,8,67368,7679
2017,0,8,60936,7086
2018,0,1,316,316
2024,0,8,75200,8199
2046,0,4,14212,3553
2064,0,1,681,681
2068,0,1,329,329
2080,0,2,3306,1653
2113,0,1,185,185
2123,0,1,600,600
2140,0,1,908,908
2142,0,2,3902,1951
2148,0,2,2146,1073
2150,0,1,445,445
2160,0,4,19156,4789
2165,0,1,469,469
2188,0,2,3882,1941
2201,0,1,616,616
2205,0,1,806,806
2211,0,1,521,521
2216,0,2,3544,1772
2232,0,2,2100,1050
2234,0,1,236,236
2240,0,2,2844,1422
2251,0,8,69368,8054
2262,0,1,263,263
2264,0,2,3508,1754
2274,0,1,560,560
2288,0,8,73472,8093
2293,0,1,135,135
2309,0,1,747,747
2319,0,2,2530,1265
2337,0,2,3098,1549
2340,0,2,3920,1960
2348,0,2,2924,1462
2348,0,8,77120,7280
2360,0,1,181,181
2368,0,1,982,982
2381,0,2,3446,1723
2391,0,2,3338,1669
2391,0,8,65512,8733
2397,0,8,70536,7552
2400,0,2,2806,1403
2404,0,2,2042,1021
2413,0,4,14440,3610
2422,0,2,2488,1244
2443,0,1,939,939
2449,0,1,326,326
2475,0,1,481,481
2477,0,1,295,295
2482,0,4,16000,4000
2494,0,1,866,866
2521,0,2,3848,1924
2551,0,1,173,173
2553,0,4,12888,3222
2576,0,2,2438,1219
2577,0,2,2012,1006
2584,0,1,235,235
2593,0,1,238,238
2603,0,2,3408,1704
2605,0,1,474,474
2643,0,1,923,923
2643,0,1,325,325
2651,0,2,3584,1792
2653,0,2,2830,1415
2655,0,2,2210,1105
2674,0,2,2712,1356
2686,0,1,369,369
2688,0,2,2100,1050
2699,0,1,523,523
2711,0,1,320,320
2722,0,2,2552,1276
2741,0,1,833,833
2741,0,1,313,313
2745,0,1,115,115
2748,0,2,2472,1236
2751,0,1,890,890
2753,0,1,195,195
2809,0,1,503,503
2814,0,1,528,528
2817,0,1,154,154
2823,0,2,3586,1793
2840,0,1,811,811
2843,0,8,72520,7336
2849,0,1,643,643
2853,0,1,159,159
2857,0,2,3476,1738
2858,0,4,19752,4938
2875,0,4,18892,4723
2883,0,1,480,480
2890,0,1,882,882
2912,0,1,777,777
2915,0,4,18440,4610
2923,0,2,3434,1717
2933,0,4,9468,2367
2946,0,4,11592,2898
2948,0,2,3636,1818
2950,0,4,14320,3580
2962,0,8,57248,9642
2969,0,1,527,527
2975,0,1,450,450
2975,0,1,341,341
2975,0,2,3618,1809
2976,0,2,2970,1485
2983,0,1,415,415
2991,0,2,2444,1222
3002,0,8,67520,8544
3004,0,1,194,194
3005,0,1,383,383
3011,0,2,2562,1281
3014,0,1,969,969
3018,0,2,2390,1195
3021,0,2,3994,1997
3024,0,1,587,587
3025,0,2,2988,1494
3030,0,1,415,415
3036,0,1,926,926
3038,0,8,63032,9948
3039,0,4,16548,4137
3040,0,1,655,655
3047,0,2,3944,1972
3061,0,2,2368,1184
3070,0,1,873,873
3073,0,1,871,871
3075,0,1,698,698
3080,0,1,828,828
3086,0,1,634,634
3097,0,4,8840,2210
3101,0,1,187,187
3104,0,1,865,865
3113,0,2,2890,1445
3113,0,8,74800,9422
3131,0,2,3928,1964
3135,0,2,2080,1040
3145,0,2,2950,1475
3151,0,4,16236,4059
3155,0,1,905,905
3174,0,1,249,249
3188,0,1,472,472
3191,0,2,2492,1246
3208,0,1,869,869
3215,0,2,3150,1575
3240,0,1,150,150
3244,0,2,3160,1580
3254,0,2,2020,1010
3271,0,1,794,794
3281,0,2,2670,1335
3292,0,1,132,132
3310,0,1,664,664
3311,0,2,3870,1935
3314,0,1,366,366
3314,0,1,620,620
3314,0,1,891,891
3326,0,2,2064,1032
3335,0,2,2550,1275
3336,0,1,225,225
3338,0,1,115,115
3343,0,4,13056,3264
3357,0,1,208,208
3376,0,8,77592,7164
3396,0,1,146,146
3399,0,8,66832,9279
3414,0,2,2838,1419
3417,0,1,246,246
3434,0,8,66544,9039
3447,0,2,2682,1341
3486,0,2,2872,1436
3515,0,4,17356,4339
3517,0,4,15500,3875
3524,0,1,471,471
3527,0,2,2118,1059
3534,0,2,3284,1642
3544,0,1,320,320
3551,0,1,144,144
3563,0,2,3324,1662
3566,0,1,739,739
3568,0,2,3294,1647
3584,0,2,3346,1673
3598,0,2,2134,1067
3602,0,2,2096,1048
3619,0,1,991,991
3644,0,1,416,416
3654,0,2,2472,1236
3654,0,4,16232,4058
3656,0,1,926,926
3656,0,2,2566,1283
3665,0,1,118,118
3676,0,1,154,154
3677,0,2,3762,1881
3678,0,1,564,564
3685,0,2,2882,1441
3689,0,2,2762,1381
3705,0,1,145,145
3708,0,1,590,590
3711,0,1,755,755
3731,0,2,2752,1376
3735,0,1,754,754
3754,0,2,2812,1406
3756,0,1,466,466
3760,0,1,350,350
3760,0,8,59192,8492
3765,0,4,18752,4688
3802,0,4,18564,4641
3803,0,1,686,686
3809,0,1,770,770
3822,0,2,3680,1840
3827,0,2,3482,1741
3840,0,1,154,154
3851,0,1,563,563
3856,0,2,3898,1949
3864,0,8,67984,8708
3867,0,1,222,222
3879,0,1,272,272
3881,0,4,13176,3294
3890,0,1,504,504
3890,0,2,2410,1205
3898,0,2,3960,1980
3902,0,2,3494,1747
3915,0,2,3622,1811
3919,0,1,976,976
3928,0,2,3480,1740
3935,0,1,800,800
3940,0,1,995,995
3952,0,1,247,247
3965,0,1,994,994
3978,0,8,63320,9569
3979,0,1,296,296
3991,0,8,59008,8908
3997,0,2,2906,1453
4003,0,1,346,346
4003,0,4,8680,2170
4004,0,1,964,964
4012,0,8,72992,7930
4016,0,4,15216,3804
4032,0,1,289,289
4037,0,2,3074,1537
4040,0,2,2486,1243
4054,0,4,18864,4716
4059,0,1,969,969
4072,0,1,661,661
4083,0,1,710,710
4087,0,2,3896,1948
4102,0,1,158,158
4104,0,1,689,689
4124,0,2,3104,1552
4125,0,8,64184,8282
4161,0,2,3600,1800
4164,0,1,406,406
4172,0,1,233,233
4174,0,2,3220,1610
4181,0,4,9864,2466
4185,0,1,538,538
4204,0,1,121,121
4209,0,1,270,270
4209,0,2,2698,1349
4218,0,1,498,498
4226,0,1,111,111
4230,0,1,456,456
4238,0,4,14080,3520
4257,0,2,2744,1372
4260,0,2,2076,1038
4263,0,2,2042,1021
4267,0,2,3692,1846
4279,0,1,326,326
4281,0,2,3028,1514
4300,0,2,2454,1227
4306,0,2,3930,1965
4320,0,2,3904,1952
4320,0,4,19468,4867
4324,0,2,3174,1587
4326,0,2,2690,1345
4329,0,1,423,423
4345,0,1,152,152
4347,0,2,2086,1043
4376,0,2,3106,1553
4388,0,1,750,750
4405,0,1,153,153
4409,0,1,331,331
4417,0,1,647,647
4422,0,4,14976,3744
4424,0,1,775,775
4430,0,1,360,360
4440,0,2,2634,1317
4442,0,1,766,766
4455,0,1,962,962
4466,0,2,2104,1052
4473,0,2,2360,1180
4475,0,2,2178,1089
4510,0,4,12864,3216
4533,0,2,3210,1605
4541,0,1,849,849
4541,0,1,321,321
4545,0,1,103,103
4546,0,2,2532,1266
4547,0,2,2162,1081
4556,0,1,836,836
4608,0,1,429,429
4629,0,1,332,332
4633,0,1,915,915
4635,0,1,394,394
4643,0,1,719,719
4647,0,1,944,944
4651,0,1,173,173
4658,0,1,273,273
4662,0,1,904,904
4696,0,1,996,996
4707,0,1,897,897
4743,0,1,699,699
4745,0,2,2788,1394
4768,0,1,406,406
4782,0,1,433,433
4792,0,4,18432,4608
4797,0,1,207,207
4801,0,2,3170,1585
4803,0,1,578,578
4804,0,1,164,164
4811,0,1,586,586
4813,0,2,2968,1484
4816,0,1,510,510
4821,0,4,9852,2463
4831,0,1,214,214
4832,0,2,3912,1956
4834,0,1,690,690
4835,0,1,711,711
4843,0,2,2272,1136
4849,0,1,157,157
4869,0,1,439,439
4874,0,2,2206,1103
4881,0,1,130,130
4885,0,1,362,362
4886,0,2,3578,1789
4895,0,2,2452,1226
4902,0,4,15456,3864
4908,0,1,825,825
4908,0,2,2792,1396
4930,0,1,935,935
4936,0,1,872,872
4936,0,1,919,919
4946,0,1,466,466
4946,0,1,746,746
4949,0,2,3530,1765
4973,0,1,390,390
4985,0,2,2632,1316
4989,0,2,2558,1279
5015,0,1,563,563
5022,0,2,2308,1154
5035,0,4,12432,3108
5036,0,2,3986,1993
5044,0,1,919,919
5052,0,2,3796,1898
5062,0,2,2684,1342
5065,0,2,3728,1864
5072,0,1,594,594
5082,0,1,275,275
5083,0,8,70368,7597
5100,0,1,738,738
5110,0,2,2854,1427
5122,0,1,435,435
5136,0,1,525,525
5138,0,1,142,142
5211,0,2,2870,1435
5224,0,4,13404,3351
5226,0,2,3054,1527
5228,0,2,2602,1301
5235,0,1,654,654
5274,0,1,116,116
5276,0,1,719,719
5320,0,2,2642,1321
5323,0,2,3648,1824
5359,0,1,475,475
5362,0,2,2724,1362
5368,0,2,3418,1709
5368,0,4,19492,4873
5376,0,1,608,608
5377,0,2,2794,1397
5383,0,2,2228,1114
5410,0,1,746,746
5410,0,2,2586,1293
5422,0,2,2552,1276
5444,0,1,593,593
5446,0,1,425,425
5449,0,2,3084,1542
5454,0,1,862,862
5457,0,2,3728,1864
5463,0,2,3918,1959
5486,0,1,502,502
5486,0,2,2398,1199
5500,0,1,776,776
5501,0,2,2894,1447
5502,0,1,607,607
5512,0,1,701,701
5515,0,2,2212,1106
5531,0,2,3238,1619
5535,0,1,769,769
5538,0,2,3788,1894
5543,0,1,817,817
5549,0,1,403,403
5551,0,1,714,714
5575,0,1,601,601
5575,0,2,3146,1573
5584,0,1,598,598
5603,0,2,3492,1746
5633,0,2,3448,1724
5650,0,1,896,896
5654,0,2,3954,1977
5657,0,2,3104,1552
5659,0,1,530,530
5667,0,2,3920,1960
5692,0,1,991,991
5709,0,1,828,828
5709,0,4,8832,2208
5711,0,1,914,914
