create_time,start_time,cards,gpu_time,duration_time
1025491,1025576,2,46154,23077
3165734,3165805,1,113091,113091
2212352,2212385,4,504456,126114
1786332,1786391,6,1273950,212325
508185,508258,1,67898,67898
1237264,1237299,4,658320,164580
1349679,1349712,2,214296,107148
192121,192207,2,109738,54869
3747430,3747458,6,454836,75806
3750950,3750983,1,130988,130988
430273,430314,1,130590,130590
1319152,1319247,1,16406,16406
2190528,2190530,4,398120,99530
1892750,1892787,4,133504,33376
2196421,2196461,4,331960,82990
3347777,3347863,8,1123976,140497
3170163,3170259,4,314912,78728
1594474,1594536,1,54448,54448
2033835,2033873,4,621136,155284
733123,733162,1,69966,69966
1773113,1773164,2,312574,156287
2964419,2964498,1,4742,4742
985251,985318,6,685362,114227
955680,955722,2,271432,135716
3875527,3875586,1,117071,117071
878665,878704,1,20964,20964
3742324,3742368,2,227726,113863
966566,966648,1,125085,125085
2772104,2772178,2,13726,6863
174502,174521,1,29638,29638
2619459,2619545,2,1139656,569828
1619094,1619167,2,266120,133060
1997179,1997204,2,258042,129021
1985280,1985300,6,699540,116590
1477056,1477062,2,146770,73385
69780,69829,1,5238,5238
3140413,3140497,1,78700,78700
1603676,1603774,2,201178,100589
1107377,1107424,1,76018,76018
3481421,3481450,2,29050,14525
2006157,2006161,2,1581936,790968
3823268,3823273,1,18195,18195
1772990,1773049,1,128443,128443
2765578,2765644,1,141494,141494
350045,350059,1,56680,56680
1683023,1683065,2,323914,161957
1729472,1729506,1,69537,69537
35911,35962,8,399888,49986
2977061,2977072,1,66143,66143
2966543,2966589,1,40926,40926
988648,988657,1,119224,119224
3771573,3771585,2,301886,150943
3110689,3110717,1,124077,124077
2434765,2434768,1,26631,26631
568461,568538,1,103020,103020
1584831,1584868,1,129727,129727
573988,574079,1,107153,107153
776037,776075,2,124228,62114
957845,957851,1,41201,41201
1300830,1300906,1,7599,7599
1998441,1998453,1,119072,119072
3008164,3008171,4,235968,58992
2666913,2666980,1,73323,73323
855304,855342,4,699692,174923
208931,209005,1,143770,143770
907478,907538,8,749288,93661
287413,287480,1,34556,34556
3091913,3091966,8,1589560,198695
266614,266651,2,112588,56294
2874946,2875009,2,147118,73559
2812438,2812509,1,60064,60064
1287489,1287527,1,36875,36875
2537583,2537631,1,664317,664317
1970109,1970167,1,103442,103442
3819260,3819316,1,85803,85803
1480707,1480721,1,41484,41484
3633926,3633964,1,87664,87664
1124958,1124977,1,8885,8885
1488638,1488671,2,250988,125494
1950104,1950168,2,157040,78520
2563266,2563348,1,506870,506870
791836,791918,2,194012,97006
3813229,3813281,1,50763,50763
3751674,3751770,2,210408,105204
2475114,2475125,6,773742,128957
1748475,1748561,1,127124,127124
2069304,2069392,2,103584,51792
2451827,2451855,1,112354,112354
2524252,2524326,2,132244,66122
3511403,3511472,1,19309,19309
2521443,2521512,1,141321,141321
3829904,3829914,2,118418,59209
2680560,2680652,1,13938,13938
2094881,2094889,4,310164,77541
575433,575437,1,44681,44681
2683668,2683670,2,86292,43146
1862012,1862090,1,28943,28943
32521,32544,2,291162,145581
758923,759007,6,1092012,182002
